fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220926 084513	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	490	TRUE	102191	0.0342882364593046	0.565463515503856	2457	245	8619	27250000	107
20220926 085302	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	555	TRUE	102191	0.00501871188619953	0.761978971467736	2388	1016	7598	25690000	108
20220926 090317	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1348	TRUE	102191	0.00507807762292224	0.92859446138696	3666	142	8607	26230000	109
20220926 090557	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	368	TRUE	102191	0.0347336798326828	0.436689663240131	2890	101	9540	26840000	110
20220926 090743	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	249	TRUE	102191	0.0332662836164382	0.719836692499183	5788	91	8513	26740000	111
20220926 090909	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	163	TRUE	102191	0.0874260162804292	0.581183023844593	3451	121	10548	26270000	112
20220926 091014	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	104	TRUE	102191	0.0757406664765427	0.465093934923832	4572	49	9691	26460000	113
20220926 091053	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	76	TRUE	102191	0.116051003006373	0.866406477353486	7489	234	9782	25800000	114
20220926 091434	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	688	TRUE	102191	0.0321115358032757	0.386848366840475	4950	1012	9203	26400000	115
20220926 091637	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	339	TRUE	102191	0.0356838190494661	0.334169599619477	5517	373	8898	26530000	116
20220926 091844	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	321	TRUE	102191	0.0441267503008467	0.607235361612126	5128	693	8306	26750000	117
20220926 092218	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	460	TRUE	102191	0.0370692616631386	0.563685778825419	2187	616	8710	26980000	118
20220926 092409	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	221	TRUE	102191	0.0514015181635713	0.555442966734755	4042	119	8802	27280000	119
20220926 092606	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	212	TRUE	102191	0.0402470799817321	0.564602776733294	3757	137	8523	27120000	120
